a,b,c,d,e,f,g,result
11,0.5455,0.0909,0.0000,0.0000,0.0000,0.0000,0.5370
101,2.7030,0.1386,0.4752,0.0198,0.0891,0.0000,0.3210
4,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5679
1,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5494
5,1.2000,0.2000,0.6000,0.0000,0.0000,0.0000,0.5988
114,3.0877,0.2632,0.7895,0.0000,0.2807,0.0088,0.5741
39,3.0256,0.1795,0.4359,0.0256,0.1795,0.0000,0.5000
79,3.0886,0.3544,0.7089,0.1392,0.4430,0.0000,0.5556
23,0.5217,0.0000,0.0000,0.0000,0.0000,0.0000,0.6173
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5679
35,2.2571,0.1714,0.2286,0.0000,0.2571,0.0000,0.5432
49,0.4490,0.0000,0.0408,0.0000,0.0000,0.0000,0.5556
12,1.0833,0.0833,0.0833,0.0000,0.0000,0.0000,0.5432
95,3.5579,0.2316,0.8316,0.0105,0.2000,0.0632,0.3951
30,1.4667,0.0667,0.2000,0.0000,0.1667,0.0000,0.4969
36,0.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.5741
52,0.3269,0.0385,0.0769,0.0000,0.0000,0.0000,0.4259
41,1.2683,0.0488,0.0732,0.0000,0.0488,0.0000,0.4259
12,1.8333,0.0833,0.2500,0.0000,0.2500,0.0000,0.5247
8,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.5309
13,0.0769,0.0000,0.0000,0.0000,0.0000,0.0000,0.3210
58,2.1897,0.1897,0.2759,0.0517,0.3793,0.0000,0.5432
29,2.5517,0.1724,0.6552,0.1034,0.4138,0.0000,0.6173
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3951
14,2.0714,0.2143,0.3571,0.0000,0.0714,0.0000,0.4198
151,3.2848,0.3444,0.7616,0.0397,0.3311,0.0132,0.5000
46,2.6087,0.1522,0.3696,0.1087,0.3478,0.0000,0.4383
37,1.8378,0.0541,0.1622,0.0000,0.0270,0.0000,0.5432
2,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.5370
22,2.8182,0.0909,0.8182,0.0455,0.3636,0.0000,0.4969
10,0.6000,0.0000,0.1000,0.0000,0.0000,0.0000,0.4198
2,1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5370
34,1.3235,0.0000,0.1765,0.0000,0.0882,0.0000,0.3851
131,3.0763,0.5573,0.8550,0.2290,0.6489,0.0153,0.5309
73,2.9726,0.3973,0.7397,0.0411,0.3562,0.0137,0.6728
56,2.3393,0.2321,0.6071,0.0179,0.1786,0.0000,0.5556
12,2.1667,0.2500,0.5000,0.0000,0.0833,0.0000,0.5741
6,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3210
44,0.0455,0.0000,0.0227,0.0000,0.0000,0.0000,0.3210
20,2.4500,0.3000,0.7000,0.0500,0.3000,0.0000,0.3210
30,2.1333,0.1000,0.4667,0.0000,0.2667,0.0000,0.5247
70,3.6143,0.5000,1.0429,0.1714,0.5571,0.0143,0.3210
46,0.0652,0.0000,0.0000,0.0000,0.0000,0.0000,0.3889
89,2.5730,0.3820,0.5730,0.1348,0.3258,0.0112,0.4969
138,2.6522,0.2826,0.6884,0.1014,0.4058,0.0000,0.3210
5,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3951
60,0.4167,0.0333,0.0833,0.0000,0.0000,0.0000,0.5432
107,3.1682,0.4953,0.8692,0.1121,0.3271,0.0374,0.4259
52,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.4383
34,0.9706,0.0000,0.1176,0.0000,0.0588,0.0000,0.5494
2,2.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5370
7,0.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.4259
153,3.9608,0.5229,1.1307,0.0261,0.3725,0.0588,0.5370
39,2.1538,0.1795,0.4359,0.0000,0.0256,0.0000,0.6728
37,3.1351,0.2973,0.5405,0.0541,0.2432,0.0270,0.3851
24,1.1250,0.0417,0.0833,0.0000,0.0417,0.0000,0.5247
9,0.5556,0.1111,0.2222,0.0000,0.1111,0.0000,0.5556
145,3.5793,0.4966,0.9379,0.0759,0.4897,0.2552,0.4259
51,1.7255,0.0980,0.5098,0.0392,0.4314,0.0000,0.5741
32,2.6563,0.3750,0.9063,0.0938,0.6250,0.0000,0.5432
143,3.4196,0.4266,0.8951,0.1119,0.3427,0.0070,0.5556
161,3.6025,0.4845,0.9379,0.0745,0.2919,0.0559,0.4383
63,2.5079,0.2222,0.4603,0.0317,0.2063,0.0159,0.5309
3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.6173
36,2.1111,0.0833,0.2500,0.0278,0.0833,0.0278,0.3889
8,0.7500,0.1250,0.2500,0.0000,0.0000,0.0000,0.3951
67,2.7313,0.4179,0.8060,0.0149,0.2090,0.0299,0.5556
108,2.3519,0.2315,0.5556,0.0370,0.2037,0.0185,0.3851
83,2.1446,0.1566,0.5783,0.0120,0.2169,0.0120,0.5247
62,2.0645,0.1129,0.4677,0.0161,0.1613,0.0000,0.5370
24,2.9583,0.2500,0.6667,0.0417,0.2083,0.0000,0.5679
2,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5432
1,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5556
2,2.5000,0.0000,1.0000,0.0000,0.5000,0.0000,0.5370
124,3.2258,0.3065,0.7016,0.0081,0.3145,0.0323,0.6173
82,2.7683,0.2195,0.6098,0.0000,0.1220,0.0000,0.5741
22,1.2273,0.2727,0.2727,0.0000,0.0909,0.0455,0.5741
3,1.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.5247
118,1.8220,0.2203,0.4153,0.0085,0.1186,0.0593,0.6173
129,3.0310,0.1550,0.6977,0.0155,0.2171,0.0310,0.3210
93,1.3441,0.2043,0.3011,0.0000,0.1720,0.0215,0.5000
11,0.8182,0.0909,0.0000,0.0000,0.0000,0.0000,0.4383
40,0.4750,0.0000,0.0250,0.0000,0.0000,0.0000,0.3951
35,2.1143,0.0571,0.1714,0.0000,0.0286,0.0000,0.6173
28,0.2857,0.2857,0.0714,0.0000,0.0000,0.0000,0.5000
16,0.1875,0.0000,0.0000,0.0000,0.0000,0.0000,0.5556
35,0.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.5432
71,3.0845,0.2535,0.6901,0.0000,0.2535,0.0423,0.4969
37,3.1892,0.2973,0.7838,0.0270,0.2162,0.1351,0.5370
85,3.3765,0.2471,0.8471,0.0353,0.3176,0.0118,0.5370
92,2.4022,0.2174,0.5326,0.0000,0.1848,0.0217,0.3951
22,1.1364,0.0455,0.2273,0.0000,0.0455,0.0000,0.5370
57,0.1754,0.0175,0.0175,0.0000,0.0175,0.0000,0.5000
53,3.4340,0.3208,0.7736,0.0377,0.1509,0.0189,0.3210
89,3.5955,0.5730,1.0562,0.1124,0.5618,0.0337,0.5741
52,2.6731,0.3654,0.8269,0.1923,0.4615,0.0192,0.3951
39,1.4103,0.1026,0.1538,0.0256,0.0256,0.0513,0.3951
10,1.5000,0.0000,0.2000,0.0000,0.1000,0.0000,0.6173
46,1.7609,0.1522,0.4565,0.0000,0.1957,0.0435,0.5000
34,1.9118,0.1176,0.1765,0.0000,0.1471,0.0294,0.5247
90,0.2333,0.0000,0.0222,0.0000,0.0000,0.0000,0.5494
11,1.4545,0.0909,0.1818,0.0000,0.0909,0.0000,0.3210
31,0.5484,0.0323,0.1613,0.0000,0.0968,0.0000,0.5370
136,3.5515,0.4485,0.9779,0.0882,0.4706,0.0147,0.5432
31,2.0000,0.1935,0.2903,0.0645,0.2581,0.0000,0.5000
113,3.2301,0.3363,0.8142,0.0531,0.3540,0.0177,0.6173
38,0.1316,0.0263,0.0000,0.0000,0.0000,0.0000,0.5988
28,0.1071,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000
15,1.5333,0.2667,0.3333,0.0000,0.0000,0.0667,0.5556
17,2.8824,0.2941,0.7059,0.0000,0.0000,0.0588,0.5556
1,3.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.5370
40,2.5000,0.2000,0.4250,0.0500,0.2000,0.0000,0.5370
4,2.2500,0.0000,0.2500,0.0000,0.5000,0.0000,0.3210
3,1.3333,0.0000,0.3333,0.0000,0.0000,0.0000,0.5679
39,0.1795,0.0256,0.0513,0.0000,0.0513,0.0256,0.6728
134,3.3209,0.3433,0.8731,0.0448,0.2910,0.0000,0.5247
4,2.5000,0.2500,0.0000,0.0000,0.0000,0.2500,0.3851
80,2.6500,0.2625,0.6250,0.0375,0.3250,0.1000,0.4969
11,2.1818,0.0909,0.4545,0.0000,0.0909,0.0000,0.5679
32,1.3438,0.1563,0.2500,0.0000,0.0000,0.0000,0.5988
20,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3851
8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4198
38,0.1316,0.0000,0.0000,0.0000,0.0000,0.0000,0.4969
41,2.3902,0.1220,0.2195,0.0000,0.0732,0.0000,0.5679
22,2.6818,0.1364,0.6818,0.0909,0.3182,0.0455,0.3951
53,1.6226,0.1509,0.2453,0.0377,0.2264,0.0000,0.5432
35,1.4857,0.0571,0.1714,0.0000,0.0000,0.0000,0.5309
85,2.1765,0.1765,0.5647,0.0235,0.2588,0.0235,0.4198
30,1.5000,0.1667,0.2333,0.0667,0.2000,0.0000,0.6728
34,1.2941,0.0882,0.2059,0.0000,0.0000,0.0000,0.3851
87,2.3103,0.2874,0.5517,0.0000,0.1839,0.0115,0.3889
148,3.6284,0.5270,0.8514,0.0608,0.2770,0.4932,0.3951
8,0.1250,0.5000,0.0000,0.0000,0.0000,0.0000,0.5309
123,3.2114,0.3415,0.7967,0.0000,0.1951,0.0081,0.6173
2,3.0000,0.0000,1.5000,0.0000,1.0000,0.0000,0.5556
10,4.6000,0.6000,1.0000,0.3000,0.8000,0.0000,0.5370
149,3.4832,0.5570,0.7718,0.1812,0.5638,0.1141,0.3851
5,1.4000,0.2000,0.4000,0.0000,0.0000,0.0000,0.4259
75,2.8400,0.2400,0.6267,0.0400,0.2400,0.0133,0.4259
56,0.2500,0.0000,0.0179,0.0000,0.0000,0.0000,0.5432
95,2.4842,0.2842,0.6316,0.0316,0.2737,0.0000,0.5556
6,1.6667,0.0000,0.6667,0.0000,0.0000,0.0000,0.4259
27,1.1852,0.0370,0.1852,0.0000,0.0370,0.0000,0.5679
129,3.5581,0.5581,1.0698,0.0620,0.3643,0.0310,0.5432
34,0.9706,0.0588,0.1471,0.0000,0.0294,0.0294,0.4259
95,2.8105,0.5684,0.8211,0.0842,0.3895,0.0632,0.3951
3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3851
4,2.5000,0.2500,0.7500,0.0000,0.0000,0.0000,0.6173
56,1.1250,0.1607,0.1607,0.0536,0.1071,0.0000,0.4198
126,3.8095,0.3016,1.0238,0.0079,0.3175,0.0317,0.5494
113,3.3097,0.3717,0.7434,0.0531,0.3894,0.0531,0.5556
105,2.8095,0.3429,0.6857,0.1143,0.3619,0.0000,0.6728
9,0.2222,0.0000,0.0000,0.0000,0.0000,0.0000,0.3851
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000
39,0.4359,0.0513,0.0000,0.0000,0.0000,0.0000,0.5556
28,2.6429,0.2143,0.4286,0.0000,0.1071,0.1071,0.3210
145,3.4759,0.3724,0.7724,0.0276,0.2759,0.1172,0.4259
47,2.6809,0.1489,0.7660,0.0426,0.2553,0.0213,0.3210
102,2.8431,0.3039,0.6569,0.0784,0.3039,0.0000,0.4198
51,2.5294,0.2157,0.5098,0.0196,0.1961,0.0196,0.5432
69,2.8116,0.2609,0.5507,0.1014,0.4928,0.0000,0.5556
134,2.5224,0.2836,0.5970,0.1567,0.4030,0.0149,0.5679
19,2.3158,0.2632,0.4211,0.0526,0.1579,0.0000,0.5370
37,1.2973,0.1622,0.1081,0.0811,0.2162,0.0000,0.4383
55,0.2000,0.0182,0.0182,0.0000,0.0182,0.0000,0.5309
6,0.1667,0.0000,0.1667,0.0000,0.1667,0.0000,0.5370
41,0.5122,0.0244,0.1463,0.0000,0.0000,0.0000,0.5556
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5741
16,0.1250,0.2500,0.0000,0.0000,0.0000,0.0625,0.5988
94,1.2872,0.1915,0.3298,0.0319,0.2021,0.0213,0.3851
145,3.3241,0.5172,0.8828,0.1379,0.3862,0.1241,0.3889
45,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.5370
41,0.7561,0.0244,0.1220,0.0000,0.0488,0.0000,0.5309
12,1.1667,0.2500,0.4167,0.0833,0.1667,0.0000,0.5988
39,2.5641,0.1282,0.3846,0.0256,0.1795,0.0000,0.5679
124,3.0081,0.4194,0.7984,0.0645,0.3710,0.0161,0.4198
36,2.1389,0.1111,0.3889,0.0000,0.1389,0.0000,0.4198
159,3.9308,0.4843,1.0943,0.1698,0.5849,0.0189,0.3851
141,3.6028,0.4681,0.9433,0.1986,0.6454,0.0213,0.5556
91,3.6154,0.4505,1.0000,0.0330,0.2198,0.1099,0.3951
161,3.6770,0.6894,1.0870,0.2981,0.6894,0.0062,0.5309
7,1.0000,0.0000,0.1429,0.0000,0.0000,0.0000,0.5741
31,2.1290,0.1290,0.4839,0.0000,0.0323,0.0000,0.3210
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6173
47,0.2766,0.0000,0.0213,0.0000,0.0000,0.0000,0.5309
151,3.4570,0.4437,0.8808,0.1192,0.4238,0.0132,0.5679
42,2.0238,0.1190,0.4524,0.0238,0.2143,0.0000,0.5432
128,3.7344,0.5625,0.9766,0.0234,0.3203,0.0703,0.5556
71,1.9577,0.1831,0.3803,0.0423,0.1831,0.0000,0.5370
16,3.0000,0.1250,0.8125,0.0000,0.2500,0.0000,0.5247
9,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.6173
33,0.1212,0.0000,0.0303,0.0000,0.0303,0.0000,0.5494
40,2.1500,0.1000,0.3000,0.0250,0.1250,0.0000,0.3889
152,3.6118,0.8092,0.9934,0.3092,0.7763,0.0855,0.5432
98,3.2449,0.4184,0.7755,0.0102,0.2755,0.1224,0.5741
6,1.8333,0.0000,0.3333,0.0000,0.1667,0.0000,0.3889
37,1.9189,0.0811,0.2162,0.0000,0.1081,0.0000,0.5741
29,1.0000,0.0000,0.0690,0.0000,0.0690,0.0000,0.5370
24,0.7917,0.0833,0.3333,0.0000,0.0833,0.0000,0.3210
143,3.4476,0.4126,0.9720,0.0699,0.2937,0.0559,0.5370
43,2.5116,0.1395,0.3488,0.0233,0.2093,0.0000,0.5679
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5247
6,1.0000,0.1667,0.0000,0.0000,0.1667,0.0000,0.3210
28,1.0357,0.2500,0.3214,0.0357,0.2143,0.0357,0.5432
6,1.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.5679
139,3.7626,0.6187,1.1871,0.1223,0.6331,0.0791,0.5494
4,1.5000,0.2500,0.2500,0.0000,0.2500,0.2500,0.4198
19,1.5263,0.0526,0.3158,0.0526,0.1053,0.0000,0.5370
51,1.3137,0.0980,0.4510,0.0196,0.1765,0.0000,0.5432
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6173
142,3.5986,0.3662,1.0070,0.0493,0.4014,0.0211,0.6728
138,3.4420,0.3696,0.8768,0.1232,0.5797,0.0290,0.3889
7,1.4286,0.2857,0.1429,0.0000,0.0000,0.0000,0.5556
148,3.6486,0.4324,0.9865,0.0676,0.3986,0.0203,0.4383
33,1.3030,0.0303,0.2727,0.0000,0.0606,0.0000,0.3889
9,0.6667,0.1111,0.0000,0.0000,0.0000,0.0000,0.5741
12,0.2500,0.0000,0.0000,0.0000,0.0833,0.0000,0.4969
9,0.4444,0.0000,0.0000,0.0000,0.0000,0.0000,0.5679
67,1.9851,0.1493,0.4030,0.0000,0.1343,0.0746,0.4383
33,2.3939,0.1818,0.2727,0.0000,0.0303,0.0000,0.4198
137,3.5255,0.6715,1.1971,0.0876,0.5474,0.1168,0.6173
111,3.0270,0.4505,0.6667,0.0270,0.2973,0.0090,0.5370
135,3.3704,0.5407,0.9111,0.1630,0.5852,0.0444,0.3210
20,0.4000,0.0500,0.0500,0.0000,0.0000,0.0000,0.4259
52,3.1154,0.3654,0.7500,0.0192,0.3846,0.0000,0.4198
99,2.6667,0.3535,0.7273,0.0606,0.3737,0.0202,0.3889
14,0.5714,0.1429,0.1429,0.0000,0.0000,0.0714,0.5247
43,2.0233,0.1860,0.4186,0.0465,0.2326,0.0000,0.5988
131,3.4809,0.5649,0.9466,0.1603,0.5267,0.0076,0.5556
15,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4383
28,0.9643,0.0000,0.1071,0.0000,0.0357,0.0000,0.4969
27,1.7407,0.0000,0.1852,0.0000,0.0741,0.0000,0.3210
112,3.7232,0.5446,0.9821,0.0714,0.2857,0.3571,0.4259
73,2.8630,0.2192,0.6986,0.0411,0.2055,0.0000,0.3210
10,2.6000,0.2000,0.4000,0.0000,0.0000,0.0000,0.3210
130,3.4385,0.3769,0.8846,0.0154,0.2615,0.1923,0.4969
61,2.0984,0.2951,0.4918,0.0656,0.2295,0.0656,0.3951
70,2.3714,0.2429,0.4429,0.0000,0.1000,0.0714,0.4259
158,4.2025,0.6899,1.1456,0.0253,0.3354,0.0696,0.5679
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5741
39,0.9487,0.0256,0.0513,0.0000,0.1026,0.0000,0.5556
162,3.4259,0.6543,0.9444,0.3025,0.8642,0.0494,0.5988
35,1.8857,0.0857,0.1143,0.0000,0.0000,0.0000,0.3210
120,2.6250,0.3333,0.6750,0.1167,0.4083,0.0250,0.4259
90,2.8667,0.2889,0.8222,0.0667,0.2889,0.0000,0.3851
3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4969
20,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.5432
7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5556
16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5370
27,2.6296,0.1852,0.5185,0.0370,0.2222,0.0370,0.4383
104,3.3173,0.3269,0.7596,0.0577,0.3942,0.0192,0.4198
53,0.2453,0.0189,0.0189,0.0000,0.0377,0.0000,0.5309
29,1.2759,0.1379,0.1034,0.0000,0.1034,0.0000,0.5432
40,0.4250,0.0250,0.1000,0.0000,0.0250,0.0000,0.6173
32,2.6250,0.0313,0.1250,0.0000,0.0313,0.0000,0.6173
120,3.5333,0.4250,0.8750,0.1583,0.6167,0.0000,0.5247
2,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5988
112,3.1518,0.3214,0.7500,0.0982,0.4375,0.0268,0.6173
43,1.1163,0.1628,0.1860,0.0930,0.2093,0.0000,0.5432
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5309
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3851
8,2.1250,0.0000,0.1250,0.0000,0.0000,0.0000,0.3210
92,3.3152,0.4130,0.8261,0.0217,0.2935,0.0217,0.5432
157,3.5796,0.3376,0.9236,0.1146,0.5287,0.0000,0.3210
28,0.0714,0.0000,0.0000,0.0000,0.0000,0.0000,0.5432
101,2.1584,0.3168,0.4059,0.0891,0.2079,0.0198,0.5370
10,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5247
9,1.3333,0.2222,0.3333,0.1111,0.2222,0.0000,0.5000
46,0.2391,0.0000,0.0000,0.0000,0.0000,0.0217,0.5370
150,3.3000,0.2467,0.7533,0.0000,0.2333,0.0000,0.5556
8,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5432
32,0.1250,0.0313,0.0000,0.0000,0.0000,0.0000,0.5556
19,1.0526,0.0526,0.1053,0.0000,0.0000,0.0000,0.5432
35,0.2000,0.0000,0.0286,0.0000,0.0000,0.0000,0.3851
9,0.4444,0.0000,0.0000,0.0000,0.0000,0.0000,0.4198
20,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5370
7,3.2857,0.4286,0.7143,0.0000,0.0000,0.0000,0.5370
95,2.8947,0.3053,0.6842,0.0421,0.4632,0.0211,0.5247
38,2.3158,0.0789,0.3947,0.0263,0.1842,0.0000,0.5000
2,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5679
64,3.3281,0.3125,0.7969,0.0469,0.2969,0.0313,0.3851
38,0.5526,0.0526,0.0526,0.0000,0.0000,0.0000,0.6728
10,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3889
12,0.0833,0.1667,0.0000,0.0000,0.0000,0.0000,0.5432
10,1.0000,0.1000,0.1000,0.0000,0.1000,0.0000,0.3210
60,0.2000,0.0333,0.0667,0.0000,0.0333,0.0000,0.5432
58,0.5172,0.0172,0.1379,0.0000,0.0172,0.0000,0.5556
34,1.3824,0.1176,0.2353,0.0000,0.0000,0.0000,0.4383
4,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3889
53,1.0943,0.1509,0.2453,0.0189,0.0377,0.0000,0.5370
17,0.0588,0.0000,0.0000,0.0000,0.0000,0.0000,0.4198
51,0.2353,0.0196,0.0196,0.0000,0.0000,0.0000,0.3951
6,1.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.3951
38,2.3947,0.1579,0.2105,0.0000,0.1316,0.0000,0.5556
29,1.4138,0.0345,0.1379,0.0000,0.0690,0.0000,0.5370
27,0.5185,0.0741,0.1111,0.0000,0.0000,0.0000,0.6728
121,1.3884,0.1653,0.3719,0.0083,0.1818,0.0000,0.5741
20,1.9000,0.2000,0.5000,0.0000,0.0500,0.0500,0.3951
71,0.2394,0.0000,0.0282,0.0000,0.0141,0.0000,0.5370
28,2.9643,0.2500,0.5357,0.0000,0.1429,0.0357,0.4969
30,1.8333,0.2667,0.3667,0.1000,0.2667,0.0000,0.5494
6,0.6667,0.1667,0.1667,0.0000,0.0000,0.0000,0.5432
83,1.9759,0.1687,0.4096,0.0241,0.2892,0.0120,0.5988
3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.3210
38,2.8684,0.0789,0.3947,0.0000,0.0789,0.0000,0.5556
29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5432
110,2.4273,0.2909,0.5636,0.0182,0.3000,0.0091,0.5556
21,1.2857,0.0952,0.3333,0.0476,0.1905,0.0000,0.3951
72,2.8472,0.1944,0.6528,0.0556,0.3194,0.0000,0.4259
66,2.6818,0.1818,0.5606,0.0606,0.3182,0.0000,0.6173
77,2.1818,0.2597,0.5844,0.0130,0.2078,0.0130,0.5432
78,2.5385,0.1795,0.7821,0.0000,0.1923,0.0000,0.5000
2,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.5494
104,2.4038,0.4135,0.5481,0.0000,0.1250,0.0096,0.5556
94,3.1702,0.2660,0.7660,0.0000,0.3404,0.0319,0.5556
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5741
132,2.8182,0.2045,0.4924,0.0152,0.2424,0.0076,0.5370
5,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000
100,3.6700,0.6200,1.0300,0.1800,0.6200,0.0100,0.4198
78,1.5385,0.1026,0.3718,0.0385,0.1282,0.0256,0.6728
43,2.5116,0.2093,0.6279,0.0233,0.3488,0.0233,0.3851
71,3.3521,0.5775,0.9718,0.1268,0.3662,0.0141,0.5309
62,3.0645,0.3387,0.7097,0.1129,0.3710,0.0161,0.5432
158,3.8418,0.5380,1.0696,0.2405,0.6962,0.0316,0.5494
44,1.1136,0.0227,0.0909,0.0000,0.0000,0.0000,0.4383
117,3.4444,0.5470,0.9744,0.1111,0.4957,0.0513,0.5556
67,3.3881,0.1940,0.7761,0.0448,0.3731,0.0149,0.5432
27,1.3704,0.0000,0.1852,0.0000,0.1111,0.0000,0.6173
74,3.6622,0.6622,0.9595,0.1486,0.4459,0.0270,0.5556
1,2.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.3210
31,0.0968,0.0000,0.0000,0.0000,0.0000,0.0000,0.5247
138,3.7319,0.3333,0.9710,0.0507,0.3696,0.0290,0.5370
54,0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.3210
32,2.0625,0.1875,0.2813,0.0313,0.1250,0.0000,0.5556
149,3.2953,0.6779,1.0537,0.3020,0.8456,0.0000,0.5556
93,2.5806,0.2258,0.6667,0.0215,0.2688,0.0108,0.4198
51,0.1569,0.0196,0.0000,0.0000,0.0000,0.0000,0.4969
9,2.5556,0.0000,0.5556,0.0000,0.2222,0.0000,0.4969
39,2.3590,0.0769,0.4103,0.0000,0.1538,0.0000,0.3851
44,1.6818,0.0682,0.2955,0.0000,0.0682,0.0227,0.5000
74,0.3919,0.0405,0.0676,0.0135,0.0405,0.0000,0.3210
37,1.5676,0.0000,0.1892,0.0000,0.0270,0.0000,0.4383
43,0.5581,0.0233,0.0930,0.0000,0.0698,0.0000,0.6173
42,2.5238,0.1190,0.4048,0.0000,0.1905,0.0000,0.5556
34,0.1765,0.0000,0.0000,0.0000,0.0000,0.0000,0.5556
13,0.2308,0.0769,0.0769,0.0000,0.0000,0.0000,0.5556
158,3.5570,0.5253,0.9684,0.1203,0.5506,0.0253,0.5309
41,2.2927,0.0976,0.1951,0.0244,0.1220,0.0000,0.6728
128,3.2031,0.3047,0.7734,0.0625,0.4297,0.0078,0.3951
5,3.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5432
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5741
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5556
157,3.5414,0.4268,0.9045,0.1465,0.5541,0.0064,0.4198
154,3.5909,0.4675,0.9675,0.0649,0.5844,0.0130,0.5000
42,1.8333,0.1429,0.2619,0.0238,0.1190,0.0000,0.5494
42,1.8333,0.1190,0.2857,0.0000,0.1190,0.0000,0.4383
6,1.8333,0.1667,0.1667,0.0000,0.0000,0.0000,0.3951
119,3.4622,0.3445,0.9412,0.0168,0.2605,0.0588,0.4969
48,0.1250,0.0000,0.0208,0.0000,0.0000,0.0000,0.5247
12,0.2500,0.0000,0.0833,0.0000,0.0000,0.0000,0.5309
162,4.0247,0.6049,1.0741,0.0370,0.3519,0.0864,0.5741
48,0.6458,0.0000,0.0000,0.0000,0.0000,0.0000,0.5988
26,1.4615,0.1154,0.3077,0.0385,0.0385,0.0000,0.5247
119,3.4370,0.4874,0.9076,0.0336,0.4202,0.0336,0.5000
140,3.0500,0.3786,0.7500,0.1786,0.5571,0.0714,0.3951
69,2.7101,0.2609,0.6957,0.0725,0.1884,0.0000,0.5988
23,0.4348,0.0435,0.0870,0.0000,0.0435,0.0000,0.5247
122,3.2705,0.4672,0.8852,0.0984,0.4426,0.0984,0.5432
127,3.5433,0.3228,0.8110,0.0472,0.3307,0.0079,0.3889
32,1.3438,0.0938,0.2813,0.0000,0.0938,0.0000,0.5309
44,1.2045,0.0909,0.0909,0.0000,0.0227,0.0000,0.5432
19,2.1579,0.2632,0.4211,0.0526,0.3158,0.0000,0.3210
55,2.2000,0.2182,0.4727,0.0000,0.1091,0.0182,0.4198
21,0.0952,0.0000,0.0000,0.0000,0.0000,0.0000,0.4259
147,3.6395,0.6395,0.8571,0.1020,0.2925,0.3333,0.5000
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5988
6,0.1667,0.0000,0.1667,0.0000,0.0000,0.0000,0.3951
